bezirk,district_total_bridges,district_bridges_city_streets,district_bridges_green_spaces,district_movie_theaters,district_total_cars,district_private_cars,district_private_cars_per_100_inhabitants,district_tourism_guests_2024,district_tourism_overnightstays_2024,district_tourism_overnightstays_change_2023_2024,district_street_trees,district_libraries,district_libraries_visits,district_libraries_borrowings
charlottenburg-wilmersdorf,126,54,9,12,135928,96143,28.0,2035496,4789079,23580,42263,7,593574,1419015
friedrichshain-kreuzberg,40,34,5,11,60196,50147,17.1,1745035,4419262,273921,16520,6,528940,1572879
lichtenberg,22,18,4,1,84768,79716,25.6,537558,1275081,42363,31635,4,479442,1581303
marzahn-hellersdorf,59,53,6,3,100950,94915,32.5,91306,319598,61765,46087,6,507402,1235637
mitte,123,91,32,16,95590,71760,18.1,5850255,13758148,501729,26299,12,926691,2057975
neukoelln,54,14,30,7,93298,85890,26.0,358146,783484,24242,20632,4,393484,1442335
pankow,114,67,23,10,121013,110940,26.1,445141,1190689,-76501,42206,8,516623,1952782
reinickendorf,88,32,27,1,101724,92071,34.3,107171,365950,-9287,44105,7,424593,1480990
spandau,77,60,14,2,88508,83118,32.3,231159,606680,6307,23800,7,601339,1366015
steglitz-zehlendorf,88,48,20,6,121445,113621,36.6,161211,379056,5023,59650,6,598644,2143456
tempelhof-schoeneberg,49,19,6,5,122165,103056,29.0,702564,1710674,-24580,35126,7,543409,1565512
treptow-koepenick,124,93,14,9,106550,96803,32.9,452348,1009383,189079,44446,8,351997,1170322
