district_id,bezirk,district_total_bridges,district_bridges_city_streets,district_bridges_green_spaces,district_movie_theaters,district_total_cars,district_private_cars,district_private_cars_per_100_inhabitants,district_tourism_guests_2024,district_tourism_overnightstays_2024,district_tourism_overnightstays_change_2023_2024,district_street_trees,district_libraries,district_libraries_visits,district_libraries_borrowings,district_central_heating_percentage,district_heating,district_heating_percentage,district_floor_heating_percentage,district_block_heating_percentage,district_stove_heating_percentage,district_no_heating_percentage,district_gas_energy_percentage,district_oil_energy_percentage,district_mixed_energy_sources_percentage,district_solar_energy_percentage,district_wood_pellets_energy_percentage,district_biomass_energy_percentage,district_electric_energy_percentage,district_coal_energy_percentage,district_no_energy_source_percentage,district_housing_built_before_1950_percentage,1950-1969_percentage,1970-1989_percentage,1990-2009_percentage,district_housing_built_after_2010_percentage,district_total_apartments,district_occupied_by_owner_percentage,district_residential_rental_percentage,district_vacation_leisure_rental_percentage,district_empty_apartments,district_empty_apartments_percentage,district_average_living_space_m2,district_employed,district_employed_percentage,district_unemployed,district_unemployed_percentage,district_not_working,district_not_working_percentage,district_labor_force,district_male_labor_force,district_female_labor_force,district_total_households,district_single_households,district_couples_without_children,district_couples_without_children_percentage,district_couples_with_children,district_couples_with_children_percentage,district_single_parents,district_shared_apartments,district_only_seniors_households,district_apartment_ownes,district_apartment_owner_percentage,district_apartment_tenants,district_apartment_tenant_percentage,2_person_EUR_per_squared_meter,district_apartment_average_rooms,2_person_average_rooms,district_average_persons_per_household,district_average_years_of_residence,district_full_time_employees,district_median_income,district_total_population,district_male_population,district_male_population_percentage,district_female_population,district_female_population_percentage,district_single_population,district_couples_population,district_widowed_population,district_divorced_population,district_other_civil_status_population,district_average_age,district_population_under_18,district_population_under_18_percentage,district_population_18_29,district_population_18_29_percentage,district_population_30_49,district_population_30_49_percentage,district_population_50_64,district_population_50_64_percentage,district_population_65_plus,district_population_65_plus_percentage,district_min_rent_m2,district_avg_rent_m2,district_max_rent_m2,district_min_Buy_m2,district_avg_buy_m2
04,charlottenburg-wilmersdorf,126,54,9,12,135928,96143,28.0,2035496,4789079,23580,42263,7,593574,1419015,45.4,8428.0,43.7,9.5,0.8,0.5,0.1,38.1,16.3,43.7,0.9,0.3,0.0,0.5,0.1,0.1,54.7,26.2,10.8,4.6,3.7,194159.0,16.3,80.9,0.3,4821.0,2.5,77.7,157160.0,51.1,13520.0,4.4,136880.0,44.5,170680.0,85750.0,84930.0,187477.0,120247.0,25457.0,13.6,22500.0,12.0,11882.0,7392.0,49968.0,31398.0,16.7,156006.0,83.2,8.31,3.3,3.8,1.7,13.2,79654.0,4398.0,317079.0,150770.0,47.6,166238.0,52.4,162685.0,100977.0,18499.0,33622.0,1230.0,45.0,44463.0,14.0,45878.0,14.5,84811.0,26.8,67044.0,21.1,74816.0,23.6,11.9675,16.9825,28.5675,3635.5,6172.25
02,friedrichshain-kreuzberg,40,34,5,11,60196,50147,17.1,1745035,4419262,273921,16520,6,528940,1572879,40.8,4128.0,37.6,18.4,1.9,1.3,0.0,55.8,4.3,37.6,0.3,0.4,0.3,0.8,0.5,0.0,60.8,16.8,10.9,6.4,5.1,157555.0,8.4,89.5,0.1,3181.0,2.0,67.86,151700.0,58.7,12760.0,4.9,94010.0,36.4,164470.0,86880.0,77590.0,153287.0,97888.0,15331.0,10.0,17855.0,11.6,12004.0,10212.0,17732.0,13153.0,8.6,140111.0,91.4,8.18,3.1,3.5,1.7,11.8,73484.0,4526.0,264170.0,134035.0,50.8,130001.0,49.2,176057.0,60575.0,7386.0,18980.0,1031.0,38.3,41668.0,15.8,43274.0,16.4,105860.0,40.1,45261.0,17.1,27969.0,10.6,14.17,16.73,29.185,3245.5,5253.5
11,lichtenberg,22,18,4,1,84768,79716,25.6,537558,1275081,42363,31635,4,479442,1581303,43.6,7574.0,41.3,10.1,1.7,3.0,0.3,51.8,1.8,41.3,3.1,0.4,0.0,1.0,0.2,0.3,34.3,11.0,20.5,17.1,17.2,163232.0,6.5,91.8,0.0,2639.0,1.6,66.23,137030.0,49.9,11370.0,4.1,126140.0,45.9,148400.0,77480.0,70920.0,159151.0,87517.0,28507.0,17.9,22364.0,14.1,13998.0,6762.0,35216.0,10637.0,6.7,148503.0,93.3,6.68,3.4,3.7,1.8,14.1,80280.0,3613.0,290814.0,142883.0,49.2,147662.0,50.8,156038.0,89697.0,16704.0,26394.0,1709.0,41.8,51008.0,17.6,40028.0,13.8,90419.0,31.1,52386.0,18.0,56700.0,19.5,9.588888888888889,13.2,21.69,3296.777777777778,3967.555555555556
10,marzahn-hellersdorf,59,53,6,3,100950,94915,32.5,91306,319598,61765,46087,6,507402,1235637,62.1,7411.0,22.6,11.9,1.5,1.3,0.5,64.7,4.9,22.6,5.1,0.7,0.0,1.2,0.3,0.5,21.1,4.0,23.6,38.9,12.5,140979.0,18.1,80.3,0.1,2036.0,1.4,72.72,126110.0,48.0,10470.0,4.0,126050.0,48.0,136580.0,71210.0,65370.0,138234.0,65892.0,31850.0,23.0,22065.0,16.0,14321.0,4106.0,33619.0,25563.0,18.5,112662.0,81.5,6.0,3.6,4.0,1.9,15.1,72606.0,3314.0,270010.0,132017.0,48.9,137991.0,51.1,126605.0,99564.0,15819.0,26895.0,1127.0,43.4,48900.0,18.1,30260.0,11.2,73473.0,27.2,58410.0,21.6,58966.0,21.8,9.186,12.830000000000002,20.272,2678.4,3512.4
01,mitte,123,91,32,16,95590,71760,18.1,5850255,13758148,501729,26299,12,926691,2057975,39.0,6618.0,45.2,13.0,1.6,1.1,0.1,44.4,7.6,45.2,0.7,0.8,0.0,0.8,0.3,0.1,51.2,19.2,14.3,8.1,7.2,211686.0,7.6,89.9,0.2,4736.0,2.2,66.91,186360.0,53.9,18730.0,5.4,140570.0,40.7,205090.0,110580.0,94510.0,205002.0,131301.0,21302.0,10.4,25130.0,12.3,14416.0,12849.0,29794.0,16074.0,7.8,188835.0,92.1,8.29,3.0,3.3,1.7,11.2,93275.0,4327.0,357322.0,182387.0,51.0,174931.0,49.0,220601.0,92491.0,13182.0,28702.0,2345.0,38.6,58113.0,16.3,69351.0,19.4,121889.0,34.1,61740.0,17.3,46229.0,12.9,12.273333333333332,16.106666666666666,29.12,2804.0,4967.666666666667
08,neukoelln,54,14,30,7,93298,85890,26.0,358146,783484,24242,20632,4,393484,1442335,63.7,5596.0,19.5,12.9,1.1,2.5,0.3,49.1,26.7,19.5,1.6,0.6,0.0,2.0,0.3,0.3,36.3,20.6,27.2,11.4,4.5,167353.0,14.2,83.5,0.1,3577.0,2.1,69.82,141930.0,47.6,15560.0,5.2,140580.0,47.2,157490.0,84110.0,73380.0,162764.0,93451.0,22703.0,13.9,24215.0,14.9,12446.0,9946.0,33202.0,23779.0,14.6,138969.0,85.4,7.4,3.3,3.6,1.9,13.0,66456.0,3684.0,305405.0,150204.0,49.2,154818.0,50.8,166541.0,93961.0,16946.0,26528.0,1046.0,41.4,50826.0,16.7,44104.0,14.5,98245.0,32.2,57515.0,18.9,54334.0,17.8,9.68,13.66,22.16,3061.5,3996.75
03,pankow,114,67,23,10,121013,110940,26.1,445141,1190689,-76501,42206,8,516623,1952782,58.3,8095.0,20.6,16.6,2.3,1.8,0.5,68.2,4.1,20.6,4.2,0.8,0.0,1.2,0.6,0.5,44.2,10.2,7.3,28.3,10.0,224212.0,15.9,82.0,0.2,4292.0,1.9,73.01,221880.0,57.1,13710.0,3.5,152800.0,39.3,235590.0,118710.0,116880.0,218848.0,122955.0,33914.0,15.5,34065.0,15.6,19293.0,8620.0,37365.0,35496.0,16.2,183282.0,83.7,7.86,3.4,3.7,1.8,13.4,114050.0,4424.0,400507.0,194348.0,48.5,206062.0,51.5,231392.0,117418.0,17643.0,32686.0,1274.0,40.8,72348.0,18.1,49501.0,12.4,136137.0,34.0,81843.0,20.4,60581.0,15.1,10.796363636363637,14.030909090909091,22.812727272727273,3329.3636363636365,4171.181818181818
12,reinickendorf,88,32,27,1,101724,92071,34.3,107171,365950,-9287,44105,7,424593,1480990,76.0,3026.0,8.5,11.3,1.6,2.2,0.3,53.9,32.0,8.5,2.5,0.7,0.0,1.9,0.1,0.3,39.9,21.3,23.8,10.7,4.3,132678.0,22.3,75.5,0.2,2724.0,2.1,78.04,107650.0,43.9,10670.0,4.4,126840.0,51.7,118320.0,62570.0,55750.0,128677.0,65714.0,25821.0,20.1,21710.0,16.9,11292.0,4145.0,35451.0,29315.0,22.8,99341.0,77.2,7.03,3.7,4.0,1.9,14.0,54364.0,3656.0,252941.0,123026.0,48.6,129916.0,51.4,115412.0,93866.0,17763.0,24918.0,979.0,44.3,43997.0,17.4,33295.0,13.2,61597.0,24.4,54289.0,21.5,59762.0,23.6,10.326666666666666,13.957777777777778,22.038888888888888,3469.4444444444443,4169.777777777777
05,spandau,77,60,14,2,88508,83118,32.3,231159,606680,6307,23800,7,601339,1366015,68.3,3822.0,13.2,12.3,3.1,2.7,0.4,53.4,26.0,13.2,3.4,0.9,0.0,2.6,0.1,0.4,30.7,21.1,22.0,18.1,8.1,126796.0,18.0,79.5,0.1,3028.0,2.4,74.01,102020.0,44.4,10430.0,4.5,117280.0,51.1,112450.0,59310.0,53140.0,121144.0,62696.0,22087.0,18.2,20414.0,16.9,11929.0,4017.0,30762.0,22443.0,18.5,98687.0,81.5,7.05,3.5,3.8,1.9,13.1,54518.0,3512.0,237759.0,115185.0,48.4,122573.0,51.6,111666.0,85270.0,15946.0,23597.0,1276.0,43.0,44020.0,18.5,32257.0,13.6,60930.0,25.6,49334.0,20.7,51214.0,21.5,10.1,13.336666666666666,21.436666666666667,3349.0,3916.5
06,steglitz-zehlendorf,88,48,20,6,121445,113621,36.6,161211,379056,5023,59650,6,598644,2143456,73.3,6538.0,15.8,8.6,1.3,0.8,0.2,51.9,28.3,15.8,2.3,0.5,0.1,0.8,0.0,0.2,43.8,23.8,18.0,9.7,4.7,162192.0,26.7,70.7,0.2,3919.0,2.4,85.95,139990.0,48.9,8910.0,3.1,137370.0,48.0,148900.0,74210.0,74690.0,155286.0,82458.0,30370.0,19.6,25973.0,16.7,11554.0,4931.0,46169.0,42413.0,27.3,112828.0,72.7,7.98,3.8,4.1,1.9,14.1,63689.0,4356.0,295130.0,137793.0,46.7,157329.0,53.3,133672.0,111516.0,20627.0,28419.0,883.0,46.1,47597.0,16.1,36074.0,12.2,69170.0,23.4,65574.0,22.2,76705.0,26.0,12.067142857142857,16.101428571428574,24.895714285714284,3856.0,5703.571428571428
07,tempelhof-schoeneberg,49,19,6,5,122165,103056,29.0,702564,1710674,-24580,35126,7,543409,1565512,75.5,2491.0,8.5,12.1,2.5,1.2,0.2,60.5,27.4,8.5,1.6,0.4,0.0,1.3,0.1,0.2,38.9,23.7,25.4,8.1,3.9,186619.0,16.7,81.4,0.2,3198.0,1.7,73.77,160670.0,50.2,13560.0,4.2,145750.0,45.6,174220.0,89080.0,85140.0,182430.0,105778.0,28922.0,15.9,27241.0,14.9,13705.0,6781.0,45002.0,31055.0,17.0,151345.0,83.0,7.41,3.4,3.8,1.8,13.7,78286.0,4031.0,331332.0,160416.0,48.4,170872.0,51.6,167587.0,111324.0,19599.0,31712.0,1067.0,43.7,53031.0,16.0,45852.0,13.8,90625.0,27.4,70700.0,21.3,71081.0,21.5,11.661666666666669,14.773333333333332,23.458333333333332,3452.6666666666665,4489.333333333333
09,treptow-koepenick,124,93,14,9,106550,96803,32.9,452348,1009383,189079,44446,8,351997,1170322,65.8,5976.0,15.2,14.9,1.8,1.8,0.5,73.7,4.6,15.2,3.3,0.9,0.1,1.1,0.6,0.5,41.2,12.6,8.9,27.4,9.9,151369.0,18.7,79.5,0.2,2536.0,1.7,73.37,139670.0,52.1,9070.0,3.4,119250.0,44.5,148740.0,77480.0,71260.0,148048.0,76944.0,30912.0,20.9,22552.0,15.2,12899.0,4739.0,35233.0,28302.0,19.1,119720.0,80.9,7.35,3.5,3.8,1.8,15.1,77236.0,3870.0,275537.0,133941.0,48.6,141595.0,51.4,137414.0,93646.0,17954.0,25374.0,1150.0,43.8,45479.0,16.5,33778.0,12.3,80619.0,29.3,56576.0,20.5,59075.0,21.4,10.475714285714286,13.327142857142857,20.87642857142857,3093.785714285714,3758.428571428571
