PC1,ortsteil
-4.370050520257792,adlershof
1.2272829058632808,alt-hohenschoenhausen
-4.843445637673818,alt-treptow
-3.952948568999631,altglienicke
-4.715395188539166,baumschulenweg
-5.331604856447867,biesdorf
0.32805066268530203,blankenburg
-0.05442460847584886,blankenfelde
-5.380676453121291,bohnsdorf
-8.04557769615193,borsigwalde
1.3324816940954534,britz
1.2022282624329825,buch
0.5848672654058612,buckow
16.35506834381534,charlottenburg
1.5993190286368217,charlottenburg-nord
-4.973069446418511,dahlem
-3.3497717975431898,falkenberg
-4.928534890117123,falkenhagener feld
-0.12173175621230402,fennpfuhl
1.6716165848213347,franzoesisch buchholz
-0.34892972915837517,friedenau
1.6735835783568074,friedrichsfelde
-4.4118782653528354,friedrichshagen
18.493268751623035,friedrichshain
-6.862744125052042,frohnau
-7.507234111622845,gatow
15.761430998998069,gesundbrunnen
0.12713765057832271,gropiusstadt
1.0346231508776527,grunewald
-5.862345568654385,gruenau
-4.943752948106662,hakenfelde
1.7539317960350842,halensee
7.882874367620093,hansaviertel
-6.5977905265603045,haselhorst
-6.960750589336667,heiligensee
0.3177467886268218,heinersdorf
-0.9323917457472856,hellersdorf
-6.6796883511309995,hermsdorf
-4.556833574088523,johannisthal
-0.9146030309387181,karlshorst
1.3677233268808016,karow
-6.453312537043626,kaulsdorf
-6.4377622818172435,kladow
-8.117568909907474,konradshoehe
19.016380709632603,kreuzberg
-0.051367131094885825,koepenick
-2.9262606452665745,lankwitz
0.5888746139795927,lichtenberg
1.4722107351164728,lichtenrade
1.3727564998863968,lichterfelde
-8.232339829936219,luebars
-5.224079844973197,mahlsdorf
-3.375223240574659,malchow
1.6258497998266577,mariendorf
-0.6578040253897134,marienfelde
2.261700764206537,marzahn
22.08266337535333,mitte
15.017934356943323,moabit
-4.979461126371776,maerkisches viertel
-5.853440223571517,mueggelheim
1.284085514246145,neu-hohenschoenhausen
13.282120439958582,neukoelln
-4.91556038212323,niederschoeneweide
2.831912152217692,niederschoenhausen
-5.552674384231468,nikolassee
-4.021263504848649,oberschoeneweide
5.602824162441939,pankow
-5.3997896236601965,plaenterwald
17.77005296362251,prenzlauer berg
-5.598796790087362,rahnsdorf
0.3145637590771233,reinickendorf
0.5805683674360751,rosenthal
0.6482381712551206,rudow
-0.9855318856755088,rummelsburg
2.2948355289603657,schmargendorf
-5.97583878091315,schmoeckwitz
10.89394858554396,schoeneberg
-6.784127151944335,siemensstadt
-3.9145190371681684,spandau
-4.005931547825222,staaken
-0.2829923186486737,stadtrandsiedlung malchow
0.5824687905218394,steglitz
-4.735446743665369,tegel
2.5743749379653607,tempelhof
9.707865384857147,tiergarten
-7.558275118512295,waidmannslust
-5.84003021146303,wannsee
-3.293126202705062,wartenberg
15.603192921418072,wedding
4.728929708483813,weissensee
3.9723695267723302,westend
0.27927077765799724,wilhelmsruh
-4.326835859213766,wilhelmstadt
10.383336578727349,wilmersdorf
-6.135659961135714,wittenau
-1.2053709979852083,zehlendorf
